OrderKey,LineNumber,OrderDate,DeliveryDate,CustomerKey,StoreKey,ProductKey,Quantity,UnitPrice,NetPrice,UnitCost,CurrencyCode,ExchangeRate
103800,0,2022-11-03,2022-11-05,380807,999999,57,4,127.92,113.8488,65.2146,CAD,1.37927
104000,0,2022-11-05,2022-11-11,863815,999999,53,1,242.72,213.5936,80.4174,EUR,1.01297
104400,0,2022-11-09,2022-11-09,1052175,380,683,1,258,247.68,118.64,GBP,0.87433
104400,1,2022-11-09,2022-11-09,1052175,380,1419,4,412.8,388.032,189.84,GBP,0.87433
104400,2,2022-11-09,2022-11-09,1052175,380,1641,3,11.394,10.93824,5.238,GBP,0.87433
104500,0,2022-11-10,2022-11-10,1953768,500,2511,4,6.496,6.496,3.312,USD,1.00000
104700,0,2022-11-12,2022-11-12,965720,360,1440,1,302.4,269.136,139.056,GBP,0.84922
105100,0,2022-11-16,2022-11-16,579903,270,1258,7,51.987,46.7883,26.507,EUR,0.96043
105100,1,2022-11-16,2022-11-16,579903,270,6,2,17.6874,17.6874,9.02,EUR,0.96043
105100,3,2022-11-16,2022-11-16,579903,270,2045,2,147.5918,129.880784,67.8714,EUR,0.96043
105200,0,2022-11-17,2022-11-17,2083695,540,678,7,182,163.8,92.78,USD,1.00000
105200,1,2022-11-17,2022-11-17,2083695,540,522,4,558,491.04,256.6,USD,1.00000
105400,0,2022-11-19,2022-11-19,1108706,370,345,2,1398,1398,642.88,GBP,0.83989
105800,0,2022-11-23,2022-11-23,311967,90,505,2,1238,1238,410.18,CAD,1.34199
105900,0,2022-11-24,2022-11-24,1985156,550,1251,1,77.987,77.987,39.754,USD,1.00000
105900,1,2022-11-24,2022-11-24,1985156,550,551,5,4590,3947.4,1520.76,USD,1.00000
105900,2,2022-11-24,2022-11-24,1985156,550,1533,1,478.4,440.128,220,USD,1.00000
105900,3,2022-11-24,2022-11-24,1985156,550,142,4,269.991,269.991,137.646,USD,1.00000
106100,0,2022-11-26,2022-11-26,425972,220,2508,3,7.584,6.74976,3.872,EUR,0.96386
106100,1,2022-11-26,2022-11-26,425972,220,1664,2,8.091,7.2819,3.717,EUR,0.96386
106500,0,2022-11-30,2022-11-30,1763805,650,2110,1,1209.5,1197.405,400.734,USD,1.00000
106500,1,2022-11-30,2022-11-30,1763805,650,2497,4,15.984,15.984,8.144,USD,1.00000
106600,0,2022-12-01,2022-12-01,1315731,510,1689,8,4.482,3.89934,2.286,USD,1.00000
106600,1,2022-12-01,2022-12-01,1315731,510,1636,2,11.394,11.394,5.238,USD,1.00000
106800,0,2022-12-03,2022-12-03,161712,60,668,4,294,294,135.2,AUD,1.46679
106800,1,2022-12-03,2022-12-03,161712,60,941,4,83.98,77.2616,42.82,AUD,1.46679
107200,0,2022-12-07,2022-12-07,1574465,660,449,3,698,698,320.98,USD,1.00000
107300,0,2022-12-08,2022-12-08,1225372,610,1414,2,409.6,409.6,188.368,USD,1.00000
107300,1,2022-12-08,2022-12-08,1225372,610,1193,6,735.8,662.22,338.364,USD,1.00000
107300,2,2022-12-08,2022-12-08,1225372,610,1571,2,51.291,47.18772,23.589,USD,1.00000
107500,0,2022-12-10,2022-12-10,1432289,560,1555,6,588.8,529.92,195.088,USD,1.00000
107500,1,2022-12-10,2022-12-10,1432289,560,2112,1,648.62,603.2166,298.275,USD,1.00000
107500,2,2022-12-10,2022-12-10,1432289,560,1456,4,481.6,481.6,221.472,USD,1.00000
107900,0,2022-12-14,2022-12-14,1733555,430,1427,5,368,327.52,169.232,USD,1.00000
107900,1,2022-12-14,2022-12-14,1733555,430,1539,3,496,496,228.096,USD,1.00000
108000,0,2022-12-15,2022-12-22,752954,999999,2007,3,546.0708,546.0708,180.9248,EUR,0.94153
108000,1,2022-12-15,2022-12-22,752954,999999,581,1,918,918,304.16,EUR,0.94153
108200,0,2022-12-17,2022-12-23,2098401,999999,155,2,422.973,401.82435,194.508,USD,1.00000
108201,0,2022-12-17,2022-12-17,1936349,610,82,2,33.251,31.58845,15.293,USD,1.00000
108500,0,2022-12-20,2022-12-20,1799679,490,2503,1,15.984,15.1848,8.144,USD,1.00000
108600,0,2022-12-21,2022-12-21,1300797,490,408,8,1516,1516,697.16,USD,1.00000
108600,1,2022-12-21,2022-12-21,1300797,490,1102,10,445.9,445.9,205.049,USD,1.00000
108600,2,2022-12-21,2022-12-21,1300797,490,1148,1,548.6,488.254,279.695,USD,1.00000
108700,0,2022-12-22,2022-12-22,1199183,360,1424,4,320,320,147.152,GBP,0.82990
108701,0,2022-12-22,2022-12-22,1779086,540,154,1,422.973,389.13516,194.508,USD,1.00000
108701,1,2022-12-22,2022-12-22,1779086,540,1201,6,1298.7,1298.7,430.287,USD,1.00000
108800,0,2022-12-23,2022-12-23,68385,60,444,2,1838,1617.44,608.96,AUD,1.49285
108800,1,2022-12-23,2022-12-23,68385,60,65,1,148.42,127.6412,68.2568,AUD,1.49285
108900,0,2022-12-24,2022-12-24,1228838,610,1408,1,846.4,770.224,280.432,USD,1.00000
108900,1,2022-12-24,2022-12-24,1228838,610,1294,6,773.5,765.765,256.282,USD,1.00000
108900,2,2022-12-24,2022-12-24,1228838,610,1589,3,8.991,8.45154,4.581,USD,1.00000
108900,3,2022-12-24,2022-12-24,1228838,610,1601,6,143.991,133.91163,66.213,USD,1.00000
108900,4,2022-12-24,2022-12-24,1228838,610,1361,4,79.984,79.984,26.496,USD,1.00000
108900,5,2022-12-24,2022-12-24,1228838,610,1553,4,428.8,377.344,197.184,USD,1.00000
108901,0,2022-12-24,2022-12-24,20596,60,643,3,338,314.34,155.44,AUD,1.49285
108901,1,2022-12-24,2022-12-24,20596,60,1378,2,35.2,32.736,16.192,AUD,1.49285
108902,0,2022-12-24,2022-12-24,1074938,370,1998,5,114.7918,99.868866,58.5234,GBP,0.82875
109200,0,2022-12-27,2022-12-27,2025576,530,653,2,272,236.64,125.08,USD,1.00000
109300,0,2022-12-28,2022-12-28,1965932,490,2502,1,15.984,14.22576,8.144,USD,1.00000
109300,1,2022-12-28,2022-12-28,1965932,490,1765,2,538.92,538.92,178.551,USD,1.00000
109300,2,2022-12-28,2022-12-28,1965932,490,103,1,94.3,89.585,43.3616,USD,1.00000
109301,0,2022-12-28,2023-01-01,1862714,999999,1733,7,20.5092,20.5092,10.458,USD,1.00000
109301,1,2022-12-28,2023-01-01,1862714,999999,1600,3,52.092,52.092,23.958,USD,1.00000
109400,0,2022-12-29,2022-12-29,557157,210,404,6,2598,2442.12,860.76,EUR,0.93906
109401,0,2022-12-29,2023-01-03,873795,999999,453,1,459.8,409.222,234.42,EUR,0.93906
109401,1,2022-12-29,2023-01-03,873795,999999,1440,3,302.4,272.16,139.056,EUR,0.93906
109401,2,2022-12-29,2023-01-03,873795,999999,2505,8,15.984,15.984,8.144,EUR,0.93906
109500,0,2022-12-30,2022-12-30,1741997,430,1421,3,464,464,213.376,USD,1.00000
109500,1,2022-12-30,2022-12-30,1741997,430,2514,3,207.984,180.94608,68.912,USD,1.00000
109500,2,2022-12-30,2022-12-30,1741997,430,695,2,326,283.62,149.92,USD,1.00000
109600,0,2022-12-31,2022-12-31,2045769,650,442,2,539.8,539.8,275.2,USD,1.00000
109601,0,2022-12-31,2022-12-31,1836212,500,2504,1,15.984,14.06592,8.144,USD,1.00000
109601,1,2022-12-31,2022-12-31,1836212,500,1346,2,36.8,36.8,16.928,USD,1.00000
109601,2,2022-12-31,2022-12-31,1836212,500,15,1,63.6976,56.690864,29.2904,USD,1.00000
109601,3,2022-12-31,2022-12-31,1836212,500,390,4,2598,2598,860.76,USD,1.00000
109601,4,2022-12-31,2022-12-31,1836212,500,112,3,204.9918,204.9918,67.9206,USD,1.00000
109602,0,2022-12-31,2022-12-31,242273,100,1786,3,38.7,38.7,19.728,CAD,1.35383
109602,1,2022-12-31,2022-12-31,242273,100,1712,6,63.117,62.48583,29.025,CAD,1.35383
109900,0,2023-01-03,2023-01-03,1880861,450,1700,2,7.992,7.992,3.672,USD,1.00000
109900,1,2023-01-03,2023-01-03,1880861,450,1999,3,81.9918,76.252374,41.8036,USD,1.00000
109900,2,2023-01-03,2023-01-03,1880861,450,1704,2,6.291,5.59899,3.204,USD,1.00000
109900,3,2023-01-03,2023-01-03,1880861,450,1620,4,54.891,54.891,25.245,USD,1.00000
109900,4,2023-01-03,2023-01-03,1880861,450,458,6,459.8,459.8,234.42,USD,1.00000
109900,5,2023-01-03,2023-01-03,1880861,450,752,4,19,19,9.68,USD,1.00000
110000,0,2023-01-04,2023-01-04,1048766,370,126,1,129.06,112.2822,65.799,GBP,0.83098
110000,1,2023-01-04,2023-01-04,1048766,370,2513,2,207.984,180.94608,68.912,GBP,0.83098
110100,0,2023-01-05,2023-01-05,1244271,480,1777,6,38.7,34.443,19.728,USD,1.00000
110100,1,2023-01-05,2023-01-05,1244271,480,1774,7,38.7,38.7,19.728,USD,1.00000
110100,2,2023-01-05,2023-01-05,1244271,480,1016,3,192.4,192.4,88.478,USD,1.00000
110100,3,2023-01-05,2023-01-05,1244271,480,153,9,422.973,376.44597,194.508,USD,1.00000
110101,0,2023-01-05,2023-01-05,1203706,670,1560,5,528,512.16,242.816,USD,1.00000
110101,1,2023-01-05,2023-01-05,1203706,670,2171,3,611.7118,532.189266,281.301,USD,1.00000
110101,2,2023-01-05,2023-01-05,1203706,670,1534,1,636.8,592.224,210.992,USD,1.00000
110200,0,2023-01-06,2023-01-06,1594436,500,190,3,51.21,48.1374,26.109,USD,1.00000
110300,0,2023-01-07,2023-01-07,995922,420,1746,2,98.1,98.1,32.499,GBP,0.84262
110300,1,2023-01-07,2023-01-07,995922,420,1567,1,622.4,622.4,206.208,GBP,0.84262
110300,2,2023-01-07,2023-01-07,995922,420,141,6,269.991,240.29199,137.646,GBP,0.84262
110301,0,2023-01-07,2023-01-07,441571,270,2013,7,546.0708,546.0708,180.9248,EUR,0.95238
110301,1,2023-01-07,2023-01-07,441571,270,689,1,318,318,146.24,EUR,0.95238
110700,0,2023-01-11,2023-01-11,474910,240,2134,2,1353,1217.7,448.2776,EUR,0.93049
110700,1,2023-01-11,2023-01-11,474910,240,1631,7,11.394,10.8243,5.238,EUR,0.93049
110800,0,2023-01-12,2023-01-12,1766386,670,460,1,599.8,599.8,305.8,USD,1.00000
111000,0,2023-01-14,2023-01-14,1070044,360,111,2,204.9918,182.442702,67.9206,GBP,0.82116
111000,1,2023-01-14,2023-01-14,1070044,360,2276,1,65.559,65.559,33.4232,GBP,0.82116
111000,2,2023-01-14,2023-01-14,1070044,360,450,2,1838,1709.34,608.96,GBP,0.82116
111000,3,2023-01-14,2023-01-14,1070044,360,1639,2,8.991,8.991,4.581,GBP,0.82116
111001,0,2023-01-14,2023-01-14,1614003,550,1986,2,114.7918,105.608456,58.5234,USD,1.00000
111001,1,2023-01-14,2023-01-14,1614003,550,2074,3,163.9918,147.59262,75.4154,USD,1.00000
111001,2,2023-01-14,2023-01-14,1614003,550,1300,7,123.5,109.915,56.797,USD,1.00000
111001,3,2023-01-14,2023-01-14,1614003,550,1341,6,25.6,23.296,13.056,USD,1.00000
111400,0,2023-01-18,2023-01-21,275372,999999,453,2,459.8,459.8,234.42,CAD,1.33822
111500,0,2023-01-19,2023-01-19,1968036,450,2126,3,122.18,122.18,62.2872,USD,1.00000
111500,1,2023-01-19,2023-01-19,1968036,450,1110,1,392.6,384.748,180.544,USD,1.00000
111700,0,2023-01-21,2023-01-21,484895,210,1683,3,4.491,4.491,2.286,EUR,0.92370
111701,0,2023-01-21,2023-01-21,1406739,570,1484,3,332.8,332.8,153.04,USD,1.00000
111701,1,2023-01-21,2023-01-21,1406739,570,438,3,1838,1838,608.96,USD,1.00000
111701,2,2023-01-21,2023-01-21,1406739,570,460,3,599.8,599.8,305.8,USD,1.00000
112100,0,2023-01-25,2023-01-25,2051390,590,1822,3,28.8,28.8,14.679,USD,1.00000
112100,1,2023-01-25,2023-01-25,2051390,590,699,2,392,348.88,180.26,USD,1.00000
112100,2,2023-01-25,2023-01-25,2051390,590,89,1,122.9918,122.9918,40.7458,USD,1.00000
112100,3,2023-01-25,2023-01-25,2051390,590,625,8,1998,1998,918.8,USD,1.00000
112200,0,2023-01-26,2023-01-26,1757639,490,52,1,163.959,141.00474,75.399,USD,1.00000
112400,0,2023-01-28,2023-01-28,153467,60,47,5,122.959,110.6631,62.689,AUD,1.40718
112401,0,2023-01-28,2023-01-28,711329,290,1534,6,636.8,560.384,210.992,EUR,0.92039
112401,1,2023-01-28,2023-01-28,711329,290,1696,3,15.291,13.30317,5.067,EUR,0.92039
112401,2,2023-01-28,2023-01-28,711329,290,1905,6,404.26,404.26,185.9022,EUR,0.92039
112401,3,2023-01-28,2023-01-28,711329,290,1801,6,28.8,26.208,14.679,EUR,0.92039
112401,4,2023-01-28,2023-01-28,711329,290,1133,1,567.06,493.3422,187.876,EUR,0.92039
112401,5,2023-01-28,2023-01-28,711329,290,1830,3,1311.18,1311.18,668.4804,EUR,0.92039
112401,6,2023-01-28,2023-01-28,711329,290,439,2,1118,1062.1,514.12,EUR,0.92039
112800,0,2023-02-01,2023-02-01,1819698,610,93,4,55.268,49.18852,28.1752,USD,1.00000
112800,2,2023-02-01,2023-02-01,1819698,610,1137,1,567.06,567.06,187.876,USD,1.00000
112800,3,2023-02-01,2023-02-01,1819698,610,1563,2,428.8,428.8,197.184,USD,1.00000
112800,4,2023-02-01,2023-02-01,1819698,610,129,2,180,163.8,91.773,USD,1.00000
112800,5,2023-02-01,2023-02-01,1819698,610,2507,1,7.584,6.52224,3.872,USD,1.00000
112900,0,2023-02-02,2023-02-02,1201842,530,313,3,242.1,213.048,123.426,USD,1.00000
113100,0,2023-02-04,2023-02-04,1447520,530,1690,7,15.291,15.291,5.067,USD,1.00000
113101,0,2023-02-04,2023-02-04,203630,100,57,3,127.92,127.92,65.2146,CAD,1.33638
113500,0,2023-02-08,2023-02-08,1378905,650,1722,6,50.4,50.4,25.695,USD,1.00000
113600,0,2023-02-09,2023-02-12,754240,999999,1709,3,63.117,56.17413,29.025,EUR,0.92842
113600,1,2023-02-09,2023-02-12,754240,999999,69,2,21.0658,21.0658,10.742,EUR,0.92842
113600,2,2023-02-09,2023-02-12,754240,999999,2181,4,106.518,106.518,54.3086,EUR,0.92842
113600,3,2023-02-09,2023-02-12,754240,999999,1751,2,98.1,87.309,32.499,EUR,0.92842
113800,0,2023-02-11,2023-02-14,1542190,999999,1946,10,737.18,656.0902,339.0044,USD,1.00000
113801,0,2023-02-11,2023-02-11,85210,50,1671,2,4.491,4.491,2.286,AUD,1.44359
114000,0,2023-02-13,2023-02-13,428112,220,65,3,148.42,148.42,68.2568,EUR,0.93580
114100,0,2023-02-14,2023-02-14,1389973,470,1676,2,8.091,7.03917,3.717,USD,1.00000
114100,1,2023-02-14,2023-02-14,1389973,470,57,7,127.92,127.92,65.2146,USD,1.00000
114100,2,2023-02-14,2023-02-14,1389973,470,1670,7,8.091,8.091,3.717,USD,1.00000
114101,0,2023-02-14,2023-02-14,863558,310,1507,2,427.2,427.2,196.448,EUR,0.92945
114101,1,2023-02-14,2023-02-14,863558,310,179,8,107.1,107.1,49.248,EUR,0.92945
114200,0,2023-02-15,2023-02-15,1543304,480,1711,4,63.117,56.17413,29.025,USD,1.00000
114201,0,2023-02-15,2023-02-15,1124864,360,1595,7,20.601,18.12888,6.822,GBP,0.83014
114202,0,2023-02-15,2023-02-15,901250,360,1203,1,1274,1274,422.097,GBP,0.83014
114202,1,2023-02-15,2023-02-15,901250,360,1807,6,28.8,25.632,14.679,GBP,0.83014
114300,0,2023-02-16,2023-02-16,1136116,420,1716,5,63.117,59.32998,29.025,GBP,0.83068
114300,1,2023-02-16,2023-02-16,1136116,420,459,1,539.8,539.8,275.2,GBP,0.83068
114300,2,2023-02-16,2023-02-16,1136116,420,1143,1,426.4,396.552,196.092,GBP,0.83068
114301,0,2023-02-16,2023-02-21,409915,999999,136,3,314.955,286.60905,144.837,EUR,0.93458
114301,1,2023-02-16,2023-02-21,409915,999999,1673,2,4.95,4.9005,2.52,EUR,0.93458
114301,2,2023-02-16,2023-02-21,409915,999999,1050,5,405.6,405.6,186.524,EUR,0.93458
114301,3,2023-02-16,2023-02-21,409915,999999,419,4,738,642.06,376.26,EUR,0.93458
114302,0,2023-02-16,2023-02-16,1638961,530,947,8,214.5,214.5,98.644,USD,1.00000
114400,0,2023-02-17,2023-02-17,39520,50,88,3,122.9918,122.9918,40.7458,AUD,1.46447
114401,0,2023-02-17,2023-02-17,958315,400,1782,4,38.7,38.7,19.728,GBP,0.83659
114500,0,2023-02-18,2023-02-25,1472006,999999,434,6,1198,1198,550.92,USD,1.00000
114500,1,2023-02-18,2023-02-25,1472006,999999,582,1,598,592.02,275,USD,1.00000
114500,2,2023-02-18,2023-02-25,1472006,999999,1341,3,25.6,22.272,13.056,USD,1.00000
114500,3,2023-02-18,2023-02-25,1472006,999999,331,2,179.1,159.399,91.314,USD,1.00000
114501,0,2023-02-18,2023-02-18,1156406,420,1619,4,53.991,53.991,24.831,GBP,0.83659
114501,1,2023-02-18,2023-02-18,1156406,420,459,5,539.8,480.422,275.2,GBP,0.83659
114501,2,2023-02-18,2023-02-18,1156406,420,102,3,94.3,82.984,43.3616,GBP,0.83659
114501,4,2023-02-18,2023-02-18,1156406,420,1657,7,161.991,161.991,74.493,GBP,0.83659
114502,0,2023-02-18,2023-02-18,913388,420,178,1,59.4,52.272,30.285,GBP,0.83659
114502,1,2023-02-18,2023-02-18,913388,420,1737,3,25.2,22.68,12.852,GBP,0.83659
114502,2,2023-02-18,2023-02-18,913388,420,30,5,209.1,196.554,69.2818,GBP,0.83659
114503,0,2023-02-18,2023-02-18,901010,420,1987,1,81.9918,73.79262,41.8036,GBP,0.83659
114503,1,2023-02-18,2023-02-18,901010,420,2422,4,21.3118,21.3118,10.865,GBP,0.83659
114503,2,2023-02-18,2023-02-18,901010,420,2110,1,1209.5,1136.93,400.734,GBP,0.83659
114504,0,2023-02-18,2023-02-23,1294552,999999,1579,1,197.1,177.39,65.304,USD,1.00000
114504,1,2023-02-18,2023-02-23,1294552,999999,419,1,738,686.34,376.26,USD,1.00000
114504,2,2023-02-18,2023-02-23,1294552,999999,2090,1,1209.5,1161.12,400.734,USD,1.00000
114504,3,2023-02-18,2023-02-23,1294552,999999,112,2,204.9918,204.9918,67.9206,USD,1.00000
114700,0,2023-02-20,2023-02-24,376690,999999,1163,2,1105,983.45,508.144,CAD,1.34598
114700,1,2023-02-20,2023-02-24,376690,999999,1593,2,12.501,11.50092,5.751,CAD,1.34598
114701,0,2023-02-20,2023-02-20,2020530,490,439,3,1118,1017.38,514.12,USD,1.00000
114701,1,2023-02-20,2023-02-20,2020530,490,1483,5,430.4,383.056,197.92,USD,1.00000
114800,0,2023-02-21,2023-02-21,1651954,490,64,2,148.42,148.42,68.2568,USD,1.00000
114800,1,2023-02-21,2023-02-21,1651954,490,2501,1,37.952,37.952,19.344,USD,1.00000
114800,2,2023-02-21,2023-02-21,1651954,490,1465,5,318.4,283.376,146.416,USD,1.00000
114800,3,2023-02-21,2023-02-21,1651954,490,2498,1,37.952,37.952,19.344,USD,1.00000
114801,0,2023-02-21,2023-02-24,1945327,999999,1563,6,428.8,428.8,197.184,USD,1.00000
114900,0,2023-02-22,2023-02-22,1400736,450,1596,1,11.394,11.394,5.238,USD,1.00000
114900,1,2023-02-22,2023-02-22,1400736,450,1668,7,6.291,5.78772,3.204,USD,1.00000
114901,0,2023-02-22,2023-02-25,2026046,999999,1355,1,52.784,52.784,24.272,USD,1.00000
114901,1,2023-02-22,2023-02-25,2026046,999999,433,1,1938,1802.34,642.1,USD,1.00000
114902,0,2023-02-22,2023-02-22,1858747,440,1843,1,1630.98,1630.98,750.0294,USD,1.00000
115000,0,2023-02-23,2023-02-23,402802,190,98,7,98.4,85.608,45.2476,EUR,0.94197
115000,1,2023-02-23,2023-02-23,402802,190,244,8,386.1,386.1,177.552,EUR,0.94197
115000,2,2023-02-23,2023-02-23,402802,190,1717,1,63.117,63.117,29.025,EUR,0.94197
115000,3,2023-02-23,2023-02-23,402802,190,1614,6,233.991,233.991,77.526,EUR,0.94197
115001,0,2023-02-23,2023-02-23,47227,50,2500,2,37.952,37.952,19.344,AUD,1.46486
115002,0,2023-02-23,2023-02-23,1633418,470,1433,5,492.8,423.808,226.624,USD,1.00000
