Date,FromCurrency,ToCurrency,Exchange
2022-01-12,EUR,GBP,0.83338
2022-01-12,EUR,USD,1.137
2022-01-12,GBP,AUD,1.89133
2022-01-12,GBP,CAD,1.71122
2022-01-12,GBP,EUR,1.19993
2022-01-12,GBP,GBP,1.00000
2022-01-12,GBP,USD,1.36432
2022-01-12,USD,AUD,1.38628
2022-01-12,USD,CAD,1.25427
2022-01-12,USD,EUR,0.87951
2022-01-12,USD,GBP,0.73296
2022-01-12,USD,USD,1.00000
2022-01-13,AUD,AUD,1.00000
2022-01-13,AUD,CAD,0.91056
2022-01-13,AUD,EUR,0.63658
2022-01-13,AUD,GBP,0.53183
2022-01-13,AUD,USD,0.72971
2022-01-13,CAD,AUD,1.09822
2022-01-13,CAD,CAD,1.00000
2022-01-13,CAD,EUR,0.69911
2022-01-13,CAD,GBP,0.58407
2022-01-13,CAD,USD,0.80138
2022-01-13,EUR,AUD,1.5709
2022-01-13,EUR,CAD,1.4304
2022-01-13,EUR,EUR,1.0
2022-01-13,EUR,GBP,0.83545
2022-01-13,EUR,USD,1.1463
2022-01-13,GBP,AUD,1.88030
2022-01-13,GBP,CAD,1.71213
2022-01-13,GBP,EUR,1.19696
2022-01-13,GBP,GBP,1.00000
2022-01-13,GBP,USD,1.37207
2022-01-13,USD,AUD,1.37041
2022-01-13,USD,CAD,1.24784
2022-01-13,USD,EUR,0.87237
2022-01-13,USD,GBP,0.72882
2022-01-13,USD,USD,1.00000
2022-01-14,AUD,AUD,1.00000
2022-01-14,AUD,CAD,0.90679
2022-01-14,AUD,EUR,0.63279
2022-01-14,AUD,GBP,0.52843
2022-01-14,AUD,USD,0.72436
2022-01-14,CAD,AUD,1.10279
2022-01-14,CAD,CAD,1.00000
2022-01-14,CAD,EUR,0.69784
2022-01-14,CAD,GBP,0.58275
2022-01-14,CAD,USD,0.79881
2022-01-14,EUR,AUD,1.5803
2022-01-14,EUR,CAD,1.433
2022-01-14,EUR,EUR,1.0
2022-01-14,EUR,GBP,0.83508
2022-01-14,EUR,USD,1.1447
2022-01-14,GBP,AUD,1.89239
2022-01-14,GBP,CAD,1.71600
2022-01-14,GBP,EUR,1.19749
2022-01-14,GBP,GBP,1.00000
2022-01-14,GBP,USD,1.37077
2022-01-14,USD,AUD,1.38054
2022-01-14,USD,CAD,1.25186
2022-01-14,USD,EUR,0.87359
2022-01-14,USD,GBP,0.72952
2022-01-14,USD,USD,1.00000
2022-01-15,AUD,AUD,1.00000
2022-01-15,AUD,CAD,0.90679
2022-01-15,AUD,EUR,0.63279
2022-01-15,AUD,GBP,0.52843
2022-01-15,AUD,USD,0.72436
2022-01-15,CAD,AUD,1.10279
2022-01-15,CAD,CAD,1.00000
2022-01-15,CAD,EUR,0.69784
2022-01-15,CAD,GBP,0.58275
2022-01-15,CAD,USD,0.79881
2022-01-15,EUR,AUD,1.5803
2022-01-15,EUR,CAD,1.433
2022-01-15,EUR,EUR,1.0
2022-01-15,EUR,GBP,0.83508
2022-01-15,EUR,USD,1.1447
2022-01-15,GBP,AUD,1.89239
2022-01-15,GBP,CAD,1.71600
2022-01-15,GBP,EUR,1.19749
2022-01-15,GBP,GBP,1.00000
2022-01-15,GBP,USD,1.37077
2022-01-15,USD,AUD,1.38054
2022-01-15,USD,CAD,1.25186
2022-01-15,USD,EUR,0.87359
2022-01-15,USD,GBP,0.72952
2022-01-15,USD,USD,1.00000
2022-01-16,AUD,AUD,1.00000
2022-01-16,AUD,CAD,0.90679
2022-01-16,AUD,EUR,0.63279
2022-01-16,AUD,GBP,0.52843
2022-01-16,AUD,USD,0.72436
2022-01-16,CAD,AUD,1.10279
2022-01-16,CAD,CAD,1.00000
2022-01-16,CAD,EUR,0.69784
2022-01-16,CAD,GBP,0.58275
2022-01-16,CAD,USD,0.79881
2022-01-16,EUR,AUD,1.5803
2022-01-16,EUR,CAD,1.433
2022-01-16,EUR,EUR,1.0
2022-01-16,EUR,GBP,0.83508
2022-01-16,EUR,USD,1.1447
2022-01-16,GBP,AUD,1.89239
2022-01-16,GBP,CAD,1.71600
2022-01-16,GBP,EUR,1.19749
2022-01-16,GBP,GBP,1.00000
2022-01-16,GBP,USD,1.37077
2022-01-16,USD,AUD,1.38054
2022-01-16,USD,CAD,1.25186
2022-01-16,USD,EUR,0.87359
2022-01-16,USD,GBP,0.72952
2022-01-16,USD,USD,1.00000
2022-01-17,AUD,AUD,1.00000
2022-01-17,AUD,CAD,0.90361
2022-01-17,AUD,EUR,0.63247
2022-01-17,AUD,GBP,0.52858
2022-01-17,AUD,USD,0.72121
2022-01-17,CAD,AUD,1.10667
2022-01-17,CAD,CAD,1.00000
2022-01-17,CAD,EUR,0.69994
2022-01-17,CAD,GBP,0.58496
2022-01-17,CAD,USD,0.79814
2022-01-17,EUR,AUD,1.5811
2022-01-17,EUR,CAD,1.4287
2022-01-17,EUR,EUR,1.0
2022-01-17,EUR,GBP,0.83573
2022-01-17,EUR,USD,1.1403
2022-01-17,GBP,AUD,1.89188
2022-01-17,GBP,CAD,1.70952
2022-01-17,GBP,EUR,1.19656
2022-01-17,GBP,GBP,1.00000
2022-01-17,GBP,USD,1.36444
2022-01-17,USD,AUD,1.38656
2022-01-17,USD,CAD,1.25292
2022-01-17,USD,EUR,0.87696
2022-01-17,USD,GBP,0.73290
2022-01-17,USD,USD,1.00000
2022-01-18,AUD,AUD,1.00000
2022-01-18,AUD,CAD,0.89863
2022-01-18,AUD,EUR,0.63159
2022-01-18,AUD,GBP,0.52847
2022-01-18,AUD,USD,0.71793
2022-01-18,CAD,AUD,1.11281
2022-01-18,CAD,CAD,1.00000
2022-01-18,CAD,EUR,0.70284
2022-01-18,CAD,GBP,0.58809
2022-01-18,CAD,USD,0.79892
2022-01-18,EUR,AUD,1.5833
2022-01-18,EUR,CAD,1.4228
2022-01-18,EUR,EUR,1.0
2022-01-18,EUR,GBP,0.83673
2022-01-18,EUR,USD,1.1367
2022-01-18,GBP,AUD,1.89225
2022-01-18,GBP,CAD,1.70043
2022-01-18,GBP,EUR,1.19513
2022-01-18,GBP,GBP,1.00000
2022-01-18,GBP,USD,1.35850
2022-01-18,USD,AUD,1.39289
2022-01-18,USD,CAD,1.25169
2022-01-18,USD,EUR,0.87974
2022-01-18,USD,GBP,0.73610
2022-01-18,USD,USD,1.00000
2022-01-19,AUD,AUD,1.00000
2022-01-19,AUD,CAD,0.90038
2022-01-19,AUD,EUR,0.63658
2022-01-19,AUD,GBP,0.52943
2022-01-19,AUD,USD,0.72220
2022-01-19,CAD,AUD,1.11065
2022-01-19,CAD,CAD,1.00000
2022-01-19,CAD,EUR,0.70701
2022-01-19,CAD,GBP,0.58801
2022-01-19,CAD,USD,0.80211
2022-01-19,EUR,AUD,1.5709
2022-01-19,EUR,CAD,1.4144
2022-01-19,EUR,EUR,1.0
2022-01-19,EUR,GBP,0.83168
2022-01-19,EUR,USD,1.1345
2022-01-19,GBP,AUD,1.88883
2022-01-19,GBP,CAD,1.70065
2022-01-19,GBP,EUR,1.20239
2022-01-19,GBP,GBP,1.00000
2022-01-19,GBP,USD,1.36411
2022-01-19,USD,AUD,1.38466
2022-01-19,USD,CAD,1.24672
2022-01-19,USD,EUR,0.88145
2022-01-19,USD,GBP,0.73308
2022-01-19,USD,USD,1.00000
2022-01-20,AUD,AUD,1.00000
2022-01-20,AUD,CAD,0.90397
2022-01-20,AUD,EUR,0.63849
2022-01-20,AUD,GBP,0.53164
2022-01-20,AUD,USD,0.72392
2022-01-20,CAD,AUD,1.10623
2022-01-20,CAD,CAD,1.00000
2022-01-20,CAD,EUR,0.70631
2022-01-20,CAD,GBP,0.58811
2022-01-20,CAD,USD,0.80082
2022-01-20,EUR,AUD,1.5662
2022-01-20,EUR,CAD,1.4158
2022-01-20,EUR,EUR,1.0
2022-01-20,EUR,GBP,0.83265
2022-01-20,EUR,USD,1.1338
2022-01-20,GBP,AUD,1.88098
2022-01-20,GBP,CAD,1.70035
2022-01-20,GBP,EUR,1.20098
2022-01-20,GBP,GBP,1.00000
2022-01-20,GBP,USD,1.36168
2022-01-20,USD,AUD,1.38137
2022-01-20,USD,CAD,1.24872
2022-01-20,USD,EUR,0.88199
2022-01-20,USD,GBP,0.73439
2022-01-20,USD,USD,1.00000
2022-01-21,AUD,AUD,1.00000
2022-01-21,AUD,CAD,0.90091
2022-01-21,AUD,EUR,0.63395
2022-01-21,AUD,GBP,0.53020
2022-01-21,AUD,USD,0.71941
2022-01-21,CAD,AUD,1.10999
2022-01-21,CAD,CAD,1.00000
2022-01-21,CAD,EUR,0.70368
2022-01-21,CAD,GBP,0.58851
2022-01-21,CAD,USD,0.79854
2022-01-21,EUR,AUD,1.5774
2022-01-21,EUR,CAD,1.4211
2022-01-21,EUR,EUR,1.0
2022-01-21,EUR,GBP,0.83633
2022-01-21,EUR,USD,1.1348
2022-01-21,GBP,AUD,1.88610
2022-01-21,GBP,CAD,1.69921
2022-01-21,GBP,EUR,1.19570
2022-01-21,GBP,GBP,1.00000
2022-01-21,GBP,USD,1.35688
2022-01-21,USD,AUD,1.39002
2022-01-21,USD,CAD,1.25229
2022-01-21,USD,EUR,0.88121
2022-01-21,USD,GBP,0.73698
2022-01-21,USD,USD,1.00000
2022-01-22,AUD,AUD,1.00000
2022-01-22,AUD,CAD,0.90091
2022-01-22,AUD,EUR,0.63395
2022-01-22,AUD,GBP,0.53020
2022-01-22,AUD,USD,0.71941
2022-01-22,CAD,AUD,1.10999
2022-01-22,CAD,CAD,1.00000
2022-01-22,CAD,EUR,0.70368
2022-01-22,CAD,GBP,0.58851
2022-01-22,CAD,USD,0.79854
2022-01-22,EUR,AUD,1.5774
2022-01-22,EUR,CAD,1.4211
2022-01-22,EUR,EUR,1.0
2022-01-22,EUR,GBP,0.83633
2022-01-22,EUR,USD,1.1348
2022-01-22,GBP,AUD,1.88610
2022-01-22,GBP,CAD,1.69921
2022-01-22,GBP,EUR,1.19570
2022-01-22,GBP,GBP,1.00000
2022-01-22,GBP,USD,1.35688
2022-01-22,USD,AUD,1.39002
2022-01-22,USD,CAD,1.25229
2022-01-22,USD,EUR,0.88121
2022-01-22,USD,GBP,0.73698
2022-01-22,USD,USD,1.00000
2022-01-23,AUD,AUD,1.00000
2022-01-23,AUD,CAD,0.90091
2022-01-23,AUD,EUR,0.63395
2022-01-23,AUD,GBP,0.53020
2022-01-23,AUD,USD,0.71941
2022-01-23,CAD,AUD,1.10999
2022-01-23,CAD,CAD,1.00000
2022-01-23,CAD,EUR,0.70368
2022-01-23,CAD,GBP,0.58851
2022-01-23,CAD,USD,0.79854
2022-01-23,EUR,AUD,1.5774
2022-01-23,EUR,CAD,1.4211
2022-01-23,EUR,EUR,1.0
2022-01-23,EUR,GBP,0.83633
2022-01-23,EUR,USD,1.1348
2022-01-23,GBP,AUD,1.88610
2022-01-23,GBP,CAD,1.69921
2022-01-23,GBP,EUR,1.19570
2022-01-23,GBP,GBP,1.00000
2022-01-23,GBP,USD,1.35688
2022-01-23,USD,AUD,1.39002
2022-01-23,USD,CAD,1.25229
2022-01-23,USD,EUR,0.88121
2022-01-23,USD,GBP,0.73698
2022-01-23,USD,USD,1.00000
2022-01-24,AUD,AUD,1.00000
2022-01-24,AUD,CAD,0.89934
2022-01-24,AUD,EUR,0.63028
2022-01-24,AUD,GBP,0.52819
2022-01-24,AUD,USD,0.71247
2022-01-24,CAD,AUD,1.11192
2022-01-24,CAD,CAD,1.00000
2022-01-24,CAD,EUR,0.70082
2022-01-24,CAD,GBP,0.58731
2022-01-24,CAD,USD,0.79221
2022-01-24,EUR,AUD,1.5866
2022-01-24,EUR,CAD,1.4269
2022-01-24,EUR,EUR,1.0
2022-01-24,EUR,GBP,0.83803
2022-01-24,EUR,USD,1.1304
2022-01-24,GBP,AUD,1.89325
2022-01-24,GBP,CAD,1.70268
2022-01-24,GBP,EUR,1.19327
2022-01-24,GBP,GBP,1.00000
2022-01-24,GBP,USD,1.34888
2022-01-24,USD,AUD,1.40357
2022-01-24,USD,CAD,1.26230
2022-01-24,USD,EUR,0.88464
2022-01-24,USD,GBP,0.74136
2022-01-24,USD,USD,1.00000
2022-01-25,AUD,AUD,1.00000
2022-01-25,AUD,CAD,0.90091
2022-01-25,AUD,EUR,0.63235
2022-01-25,AUD,GBP,0.52936
2022-01-25,AUD,USD,0.71253
2022-01-25,CAD,AUD,1.10999
2022-01-25,CAD,CAD,1.00000
2022-01-25,CAD,EUR,0.70190
2022-01-25,CAD,GBP,0.58758
2022-01-25,CAD,USD,0.79090
2022-01-25,EUR,AUD,1.5814
2022-01-25,EUR,CAD,1.4247
2022-01-25,EUR,EUR,1.0
2022-01-25,EUR,GBP,0.83713
2022-01-25,EUR,USD,1.1268
2022-01-25,GBP,AUD,1.88907
2022-01-25,GBP,CAD,1.70189
2022-01-25,GBP,EUR,1.19456
2022-01-25,GBP,GBP,1.00000
2022-01-25,GBP,USD,1.34603
2022-01-25,USD,AUD,1.40344
2022-01-25,USD,CAD,1.26438
2022-01-25,USD,EUR,0.88747
2022-01-25,USD,GBP,0.74293
2022-01-25,USD,USD,1.00000
2022-01-26,AUD,AUD,1.00000
2022-01-26,AUD,CAD,0.90119
2022-01-26,AUD,EUR,0.63585
2022-01-26,AUD,GBP,0.53067
2022-01-26,AUD,USD,0.71705
2022-01-26,CAD,AUD,1.10965
2022-01-26,CAD,CAD,1.00000
2022-01-26,CAD,EUR,0.70557
2022-01-26,CAD,GBP,0.58885
2022-01-26,CAD,USD,0.79567
2022-01-26,EUR,AUD,1.5727
2022-01-26,EUR,CAD,1.4173
2022-01-26,EUR,EUR,1.0
2022-01-26,EUR,GBP,0.83458
2022-01-26,EUR,USD,1.1277
2022-01-26,GBP,AUD,1.88442
2022-01-26,GBP,CAD,1.69822
2022-01-26,GBP,EUR,1.19821
2022-01-26,GBP,GBP,1.00000
2022-01-26,GBP,USD,1.35122
2022-01-26,USD,AUD,1.39461
2022-01-26,USD,CAD,1.25681
2022-01-26,USD,EUR,0.88676
2022-01-26,USD,GBP,0.74007
2022-01-26,USD,USD,1.00000
2022-01-27,AUD,AUD,1.00000
2022-01-27,AUD,CAD,0.89791
2022-01-27,AUD,EUR,0.63408
2022-01-27,AUD,GBP,0.52862
2022-01-27,AUD,USD,0.70763
2022-01-27,CAD,AUD,1.11369
2022-01-27,CAD,CAD,1.00000
2022-01-27,CAD,EUR,0.70616
2022-01-27,CAD,GBP,0.58872
2022-01-27,CAD,USD,0.78808
2022-01-27,EUR,AUD,1.5771
2022-01-27,EUR,CAD,1.4161
2022-01-27,EUR,EUR,1.0
2022-01-27,EUR,GBP,0.83368
2022-01-27,EUR,USD,1.116
2022-01-27,GBP,AUD,1.89173
2022-01-27,GBP,CAD,1.69861
2022-01-27,GBP,EUR,1.19950
2022-01-27,GBP,GBP,1.00000
2022-01-27,GBP,USD,1.33864
2022-01-27,USD,AUD,1.41317
2022-01-27,USD,CAD,1.26891
2022-01-27,USD,EUR,0.89606
2022-01-27,USD,GBP,0.74703
2022-01-27,USD,USD,1.00000
2022-01-28,AUD,AUD,1.00000
2022-01-28,AUD,CAD,0.89155
2022-01-28,AUD,EUR,0.62613
2022-01-28,AUD,GBP,0.52081
2022-01-28,AUD,USD,0.69739
2022-01-28,CAD,AUD,1.12164
2022-01-28,CAD,CAD,1.00000
2022-01-28,CAD,EUR,0.70230
2022-01-28,CAD,GBP,0.58416
2022-01-28,CAD,USD,0.78222
2022-01-28,EUR,AUD,1.5971
2022-01-28,EUR,CAD,1.4239
2022-01-28,EUR,EUR,1.0
2022-01-28,EUR,GBP,0.83178
2022-01-28,EUR,USD,1.1138
2022-01-28,GBP,AUD,1.92010
2022-01-28,GBP,CAD,1.71187
2022-01-28,GBP,EUR,1.20224
2022-01-28,GBP,GBP,1.00000
2022-01-28,GBP,USD,1.33906
2022-01-28,USD,AUD,1.43392
2022-01-28,USD,CAD,1.27842
2022-01-28,USD,EUR,0.89783
2022-01-28,USD,GBP,0.74679
2022-01-28,USD,USD,1.00000
2022-01-29,AUD,AUD,1.00000
2022-01-29,AUD,CAD,0.89155
2022-01-29,AUD,EUR,0.62613
2022-01-29,AUD,GBP,0.52081
2022-01-29,AUD,USD,0.69739
2022-01-29,CAD,AUD,1.12164
2022-01-29,CAD,CAD,1.00000
2022-01-29,CAD,EUR,0.70230
2022-01-29,CAD,GBP,0.58416
2022-01-29,CAD,USD,0.78222
2022-01-29,EUR,AUD,1.5971
2022-01-29,EUR,CAD,1.4239
2022-01-29,EUR,EUR,1.0
